Gank,New LocationCode,CRM Location Name,Text to identify Mall,Text to identify Merchant,ZipCode to identify Mall,GST to identify Merchant
23,L1600030133,BUKIT PANJANG PLAZA - GUARDIAN,BUKIT PANJANG PLAZA|1 JELEBU ROAD,GUARDIAN|GUARDIAN HEALTH & BEAUTY|BIZ REG NO 38562800E|WWW.GUARDIAN.COM.SG,677743,MR85002257
2,L0501741751,IMM - GIANT,IMM BLDG|IMM BRANCH|IMM BUILDING|IMM MALL,GIANT|BIZ REG NO 53234707B|WWW.GIANTONLINE.COM.SG,609601,MR85002257
16,L2213460264,THE STAR VISTA - COLD STORAGE,THE STAR VISTA|1 VISTA EXCHANGE GREEN,CS STAR::CS|COLD STORAGE|#B1-02/35/36,13861,MR85002257
14,L57054310673,RAFFLES CITY SINGAPORE - RAFFLES CITY MARKET PLACE,RAFFLES CITY|252 NORTH BRIDGE ROAD,MKT PLACE|BIZ REG NO 52929695X,179103,MR85002257
103,L2200030160,THE STAR VISTA - GUARDIAN,THE STAR VISTA|1 VISTA EXCHANGE GREEN|138617,GUARDIAN|GUARDIAN HEALTH & BEAUTY|BIZ REG NO 38562800E|WWW.GUARDIAN.COM.SG,138617,MR85002257
10,L0613460502,BUGIS JUNCTION - COLD STORAGE,230 VICTORIA ST,CS BUGIS::CS|COLD STORAGE|TEL: 63361990|#B1-16 S188024,188024,MR85002257
66,CALT25,CALTEX - CALTEX TAMPINES,1 TAMPINES AVENUE 8|SINGAPORE 529594,CALTEX|TEL: 6260 1780|FAX: 6260 1782|MERCHANT ID: 1049442450,529594,MR85002354
182,CALT01,,355 EAST COAST ROAD,CALTEX|CALTEX EAST COAST|TEL: 6342 2378|FAX: 6342 2381|MERCHANT ID: 1049442320,428972,MR85002354
130,CALT03,CALTEX - JURONG WEST,21 JURONG WEST STREET 93|648964,CALTEX|TEL: 6793 0880|FAX: 6792 0330|MERCHANT ID: 1049442430,648964,MR85002354
118,CALT02,CALTEX - CLEMENTI,CLEMENTI AVENUE 2,CALTEX,129930,MR85002354
,L0300060465,,TAMPINES MALL|4 TAMPINES CENTRAL 5,DELIFRANCE|TEL: 6260 8522|BUSINESS REG NO: 198902330E,529510,mr85003130
,L1800060438,LOT ONE - DELIFRANCE,LOT 1|LOT ONE|CHOA CHU KANG|21 CHOA CHU KANG AVE 4|689812,DELIFRANCE|198902330E|#03-K14A|TEL: 6767 0751|BUSINESS REG NO: 198902330E,689812,mr85003130
144,L0402690137,Plaza Singapura - DMK,Plaza Singapura|68 Orchard Road,DMK|Road #02-08|Tel: 6837 0983,238839,MX0974243E
161,L0920510061,"JCUBE - ITACHO SUSHI, JIKA UDON",JCUBE|2 JURONG EAST CENTRAL 1|SINGAPORE 609731,ITACHO SUSHI|JIKA UDON|TEL: 6684 4083|#02-14 2 JUR,609731,
157,L25081990591,,WESTGATE|3 GATEWAY DRIVE,SHABU SAI WG|TEL 6908 5686,,201104341W
,L02030740296,,JUNCTION 8 SHOPPING|JUNCTION 8|579837,SKECHERS|#01-10/11|TEL: 6262 2801|COMPANY REG NO: 200618576R,579837,
,L03061790656,,TAMPINES MALL|4 TAMPINES CENTRAL 5|SINGAPORE 529510,YOOGANE|TEL: 65441098,529510,201426699M
,L0418560022,,PLAZA SINGAPURA|68 ORCHARD RD|238839,MANNA|MANNA STORY|TEL: 01234567889,238839,
,L06087790158,,BUGIS JUNCTION|200 VICTORIA ST,KOGANE YAMA|KOGANE,188021,201700204C
,L0661790156,,BUGIS JUNCTION,YOOGANE|TEL: +65 6337 7337,188021,201330636Z
,L16089753008,,BUKIT PANJANG PLAZA|1 JELEBU ROAD,AH MAH HOMEMADE|EGG SPONGE CAKE,677743,
,L2402240197,,BEDOK MALL|311 NEW UPPER,SA SA COSMETIC|68449690 FAX:68449691,467360,
,L25082270584,,3 GATEWAY DRIVE|WESTGATE,ABURI SUSHI|HEISHIRO|TEL: 63699489,,201616968R
227,L25082140753,WESTGATE - ADRIFT ANAPAUO MASSAGE & SPA,WESTGATE|3 GATEWAY DRIVE,ADRIFT|ADRIFT ANAPAUO|ADRIFT ANAPAUO MASSAGE & SPA|TEL:88224567|WWW.AA-SPA.SG,608532,
296,L0300200050,TAMPINES MALL - CHARLES & KEITH,TAMPINES MALL|4 TAMPINES CENTRAL 5,CHARLES & KEITH,,
381,L02087290441,JUNCTION 8 - CHATERAISE,JUNCTION 8|9 BISHAN PLACE,CHATERAISE|TEL:6734 4355,579837,
421,L2538160342,WESTGATE - TEMT,WESTGATE|JURONG GATEWAY|600135,TEMT|ST-WGT|PH: 6465 9295|ABN# 201307130C,600135,
479,L2430470107,Bedok Mall - Greendot,BEDOK MALL|311 NEW UPPER CHANGI ROAD,GREENDOT|#B2-31/32,467360,
484,L2528880319,WESTGATE - FOOD REPUBLIC,WESTGATE|2 GATEWAY DRIVE,FOOD REPUBLIC|HOT HOT BOT|#B1-28/29,608532,
524,L04070180659,PLAZA SINGAPURA - HONG KONG WONTON NOODLE,PLAZA SINGAPURA|68 ORCHARD ROAD,WONTON|HONG KONG WONTON NOODLE|TEL: 66840923,238839,
565,L22076230357,THE STAR VISTA - GREENDOT  SMOOTHIE HOUSE,THE STAR VISTA|1 VISTA EXCHANGE GREEN,GREEN DOT ASIAM FUSION|#01-33/K2|TEL: 6702 2221,138617,
573,L25038820576,WESTGATE - ORBIS,WESTGATE|3 GATEWAY DRIVE,ORBIS ASIA PACIFIC HEADQUARTER|TEL NO.: 65 6397 5011|CO. REG. NO: 201317584E,608532,
353,L21038160505,BUGIS+ - TEMT,BUGIS+|201 VICTORIA STREET|188067,TEMT|TEMT ST-BGS|#02-25/26/27|PH: 6238 1479|ABN# 201307130C,188067,
452,L15038160438,THE ATRIUM@ORCHARD - TEMT,PLAZA SINGAPURA|68 ORCHARD ROAD,TEMT ST-PSP|ST-PSP #01-54,238839,
454,L05076682689,IMM BUILDING - THE ORANGE LANTERN,IMM #02-52,ORANGE LANTERN|LANTERN|TEL: 68962640|IMM #02-52,,
464,L02038160436,JUNCTION 8 - TEMT,JUNCTION 8|9 BISHAN PL|579837,TEMT|TEMT ST-JCT|ST-JCT|#02-41/42|PH: 6265 3875|ABN# 201307130C|FAST FUTURE BRANDS|TEMT CS@SG,579837,
466,L25065210442,WESTGATE - THE LEARNING LAB,WESTGATE,THE LEARNING LAB|WWW.THELEARNINGLAB.COM.SG,,
507,L57250753280,RAFFLES CITY SINGAPORE - MANGO,RAFFLES CITY SINGAPORE|252 NORTH BRIDGE RD,MANGO|RSH SING|PHONE65 62502306,179103,
515,L1528000346,THE ATRIUM@ORCHARD - BANGKOK JAM,PLAZA SINGAPURA|THE ATRIUM@ORCHARD|68 ORCHARD ROAD,BANGKOK JAM|MANAGED BY CREATIVEEATERIES|TEL: 65 6341 9188,238839,
516,L16028900248,BUKIT PANJANG PLAZA -  (SHAN CHENG),BUKIT PANJANG PLAZA|1 JELEBU ROAD|677743,SHAN CHENG|#01-56/57,677743,
29,L22200193146,The Star Vista - REDMAN BY PHOON HUAT,THE STAR VISTA,REDMAN by Phoon Huat|B1-14/15,138617,
36,L25201423022,Westgate - New York Night Market,3rd Gateway Drive,NY Night Market Pte|Westgate #01-08|Tel:68161018,608532,
42,L57250983225,Raffles City Singapore - Tokyo Milk Cheese Factory,Raffles City #B1-73|252 North Bridge Road,Tokyo Milk Cheese Factory|www.tokyomilkcheesesg.com|+65 92488476,179103,
45,L04088340710,Plaza Singapura - SHOP SASSY DREAM,68 Orchard Road|Plaza Singapura,Shop Sassy Dream|Road #B1-30/34,238839,
49,L0221650297,Junction 8 - Tracyeinny,9 Bishan Place|Junction 8,#02-36/37|Tracyeinny,579837,
64,L05070472606,IMM Building - Triumph Outlet,2 Jurong East Street 21|IMM Building,Triumph|21 #02-46|Tel:(65)63840241,609601,
71,L0613410629,Bugis Junction - L'zzie,Bugis Junction|200 Victoria Street,L'zzie|Street #02-37/38|Tel. +65 6333 5856|@Lzzie.officiel,,
93,L09085150305,JCube - PLAYDRESS,2 Jurong East Central 1|JCube,PLAYDRESS|#01-29/30/31|Tel:6336 7067,609731,
150,L04085610079,Plaza Singapura - Ninth Collective,68 Orchard Road|Plaza Singapura,COLLECTIVE|Tel: 6266 2058|sg_cs@ninthcollective.com,238839,
161,L24201623217,Bedok Mall - CoffeeSmith,311 NEW UPPER CHANGI ROAD|BEDOK MALL,COFFEE SMITH|#01-78 BEDOK,467360,
169,L1820300277,Lot One - Smiggle,G02-LOT ONE|21 CHOA CHU KANG AVE 4|LOT ONE,SHOP #01-20A/20B|Telephone: 65 67679871|Smiggle|www.snmiggle.com.sg,689812,
178,L18070880072,Lot One - Apgujeong Hair Studio,21 Choa Chu Kang Avenue 4|Lot One,APGUJEONG|Tel No: 67694776|www.facebook.com/ApgujeongHair|Apgujeong Hair,,
3,L24200443209,Bedok Mall - HaiDiLao Hot Pot,311 new upper changi road|bedok mall,HAIDILAO DINING|6385 3343/6385 3433,,
87,L09201223076,JCube - Shi Jian Hotpot,JCube|2 Jurong East Central 1,Shi Jian Hot Pot|02-19 Jcube,709731,
81,L04200433254,Plaza Singapura - Runway Bandits,68 Orchard Road|Plaza Singapura,RUNWAY BANDITS|Singapura #B1-31,238839,
