No,Location Code,CRM Location Name,Text to identify Mall,Text to identify Merchant,ZipCode to identify Mall,GST to identify Merchant
103,L2200030160,The Star Vista - guardian,THE STAR VISTA|1 VISTA EXCHANGE GREEN|138617,GUARDIAN|GUARDIAN HEALTH & BEAUTY|BIZ REG NO 38562800E|WWW.GUARDIAN.COM.SG,138617,MR85002257
10,L0613460502,Bugis Junction - Cold Storage,230 VICTORIA ST,CS BUGIS::CS|COLD STORAGE|TEL: 63361990|#B1-16 S188024,188024,MR85002257
,L0300060465,Tampines Mall - Delifrance,TAMPINES MALL|4 TAMPINES CENTRAL 5,DELIFRANCE|TEL: 6260 8522|BUSINESS REG NO: 198902330E,529510,mr85003130
,L1800060438,Lot One - Delifrance,LOT 1|LOT ONE|CHOA CHU KANG|21 CHOA CHU KANG AVE 4|689812,DELIFRANCE|198902330E|#03-K14A|TEL: 6767 0751|BUSINESS REG NO: 198902330E,689812,mr85003130
144,L0402690137,Plaza Singapura - DMK,Plaza Singapura|68 Orchard Road,DMK|Road #02-08|Tel: 6837 0983,238839,MX0974243E
157,L25081990591,Westgate - Shabu Sai,WESTGATE|3 GATEWAY DRIVE,SHABU SAI WG|TEL 6908 5686,,201104341W
,L02030740296,Junction 8 - SKECHERS,JUNCTION 8 SHOPPING::8|JUNCTION 8::8|579837,SKECHERS|#01-10/11|TEL: 6262 2801|COMPANY REG NO: 200618576R,579837,
,L03061790656,Tampines Mall - Yoogane,TAMPINES MALL|4 TAMPINES CENTRAL 5|SINGAPORE 529510,YOOGANE|TEL: 65441098,529510,201426699M
,L0418560022,Plaza Singapura - Manna Story,PLAZA SINGAPURA|68 ORCHARD RD|238839,MANNA|MANNA STORY|TEL: 01234567889,238839,
,L06087790158,Bugis Junction - Chir Chir Fusion Chicken Factory & Kogane Yama,BUGIS JUNCTION|200 VICTORIA ST,KOGANE YAMA|KOGANE,188021,201700204C
,L0661790156,Bugis Junction - Yoogane,BUGIS JUNCTION,YOOGANE|TEL: +65 6337 7337,188021,201330636Z
,L16089753008,Bukit Panjang Plaza - Ah Mah Traditional Homemade Egg Sponge Cake ????,BUKIT PANJANG PLAZA|1 JELEBU ROAD,AH MAH HOMEMADE|EGG SPONGE CAKE,677743,
,L2402240197,Bedok Mall - Sasa,BEDOK MALL|311 NEW UPPER,SA SA COSMETIC|68449690 FAX:68449691,467360,
,L25082270584,Westgate - ABURI SUSHI HEISHIRO,3 GATEWAY DRIVE|WESTGATE,ABURI SUSHI|HEISHIRO|TEL: 63699489,,201616968R
227,L25082140753,Westgate - Adrift Anapauo Massage & Spa,WESTGATE|3 GATEWAY DRIVE,ADRIFT|ADRIFT ANAPAUO|ADRIFT ANAPAUO MASSAGE & SPA|TEL:88224567|WWW.AA-SPA.SG,608532,
296,L0300200050,Tampines Mall - CHARLES & KEITH,TAMPINES MALL|4 TAMPINES CENTRAL 5,CHARLES & KEITH,,
381,L02087290441,Junction 8 - Chateraise,JUNCTION 8|9 BISHAN PLACE,CHATERAISE|TEL:6734 4355,579837,
421,L2538160342,Westgate - TEMT,WESTGATE|JURONG GATEWAY|600135,TEMT|ST-WGT|PH: 6465 9295|ABN# 201307130C,600135,
479,L2430470107,Bedok Mall - greendot,BEDOK MALL|311 NEW UPPER CHANGI ROAD,GREENDOT|#B2-31/32,467360,
484,L2528880319,Westgate - Food Republic,WESTGATE|2 GATEWAY DRIVE,FOOD REPUBLIC|HOT HOT BOT|#B1-28/29,608532,
524,L04070180659,Plaza Singapura - HONG KONG WONTON NOODLE,PLAZA SINGAPURA|68 ORCHARD ROAD,WONTON|HONG KONG WONTON NOODLE|TEL: 66840923,238839,
565,L22076230357,The Star Vista - Greendot ? Smoothie House,THE STAR VISTA|1 VISTA EXCHANGE GREEN,GREEN DOT ASIAM FUSION|#01-33/K2|TEL: 6702 2221,138617,
573,L25038820576,Westgate - ORBIS,WESTGATE|3 GATEWAY DRIVE,ORBIS ASIA PACIFIC HEADQUARTER|TEL NO.: 65 6397 5011|CO. REG. NO: 201317584E,608532,
353,L21038160505,Bugis+ - TEMT,BUGIS+::+|201 VICTORIA STREET|188067,TEMT|TEMT ST-BGS|#02-25/26/27|PH: 6238 1479|ABN# 201307130C,188067,
452,L15038160438,The Atrium@Orchard - TEMT,PLAZA SINGAPURA|68 ORCHARD ROAD,TEMT ST-PSP|ST-PSP #01-54,238839,
454,L05076682689,IMM Building - THE ORANGE LANTERN,IMM #02-52,ORANGE LANTERN|LANTERN|TEL: 68962640|IMM #02-52,,
464,L02038160436,Junction 8 - TEMT,JUNCTION 8::8|9 BISHAN PL|579837,TEMT|TEMT ST-JCT|ST-JCT|#02-41/42|PH: 6265 3875|ABN# 201307130C|FAST FUTURE BRANDS|TEMT CS@SG,579837,
466,L25065210442,Westgate - The Learning Lab,WESTGATE,THE LEARNING LAB|WWW.THELEARNINGLAB.COM.SG,,
507,L57250753280,Raffles City Singapore - MANGO,RAFFLES CITY SINGAPORE|252 NORTH BRIDGE RD,MANGO|RSH SING|PHONE65 62502306,179103,
515,L1528000346,The Atrium@Orchard - Bangkok Jam,PLAZA SINGAPURA|THE ATRIUM@ORCHARD|68 ORCHARD ROAD,BANGKOK JAM|MANAGED BY CREATIVEEATERIES|TEL: 65 6341 9188,238839,
729,L16028900248,Bukit Panjang Plaza - ?? (Shan Cheng),Bukit Panjang Plaza|1 Jelebu Road,Shan Cheng|Plaza#01-56/57,677743,
29,L22200193146,The Star Vista - REDMAN BY PHOON HUAT,THE STAR VISTA,REDMAN by Phoon Huat|B1-14/15,138617,
36,L25201423022,Westgate - New York Night Market,3rd Gateway Drive,NY Night Market Pte|Westgate #01-08|Tel:68161018,608532,
42,L57250983225,Raffles City Singapore - Tokyo Milk Cheese Factory,Raffles City #B1-73|252 North Bridge Road,Tokyo Milk Cheese Factory|www.tokyomilkcheesesg.com|+65 92488476,179103,
45,L04088340710,Plaza Singapura - Shop Sassy Dream,68 Orchard Road|Plaza Singapura,Shop Sassy Dream|Road #B1-30/34,238839,
49,L0221650297,Junction 8 - Tracyeinny,9 Bishan Place|Junction 8::8,#02-36/37|Tracyeinny,579837,
64,L05070472606,IMM Building - Triumph Outlet,2 Jurong East Street 21::2|IMM Building,Triumph|21 #02-46|Tel:(65)63840241,609601,
71,L0613410629,Bugis Junction - L'zzie,Bugis Junction|200 Victoria Street,L'zzie|Street #02-37/38|Tel. +65 6333 5856|@Lzzie.officiel,,
93,L09085150305,JCube - PLAYDRESS,Jurong East Central 1|JCube::JC,PLAYDRESS|#01-29/30/31|Tel:6336 7067,609731,
150,L04085610079,Plaza Singapura - Ninth Collective,68 Orchard Road|Plaza Singapura,COLLECTIVE|Tel: 6266 2058|sg_cs@ninthcollective.com,238839,
161,L24201623217,Bedok Mall - coffeesmith,311 NEW UPPER CHANGI ROAD|BEDOK MALL,COFFEE SMITH|#01-78 BEDOK,467360,
169,L1820300277,Lot One - Smiggle,G02-LOT ONE|21 CHOA CHU KANG AVE 4|LOT ONE,SHOP #01-20A/20B|Telephone: 65 67679871|Smiggle|www.snmiggle.com.sg,689812,
178,L18070880072,Lot One - Apgujeong Hair Studio,21 Choa Chu Kang Avenue 4|Lot One,APGUJEONG|Tel No: 67694776|www.facebook.com/ApgujeongHair|Apgujeong Hair,,
708,L24200443209,Bedok Mall - HaiDiLao Hot Pot ?????,Bedok Mall|311 New Upper Changi Road,HAIDILAO HOT POT| #01-13 Bedok|Tel: 0065-63853343,467360,
87,L09201223076,JCube - Shi Jian Hotpot,Jcube::Jc|Jurong East Central 1,Shi Jian Hot Pot|02-19 Jcube,709731,
81,L04200433254,Plaza Singapura - Runway Bandits,68 Orchard Road|Plaza Singapura,RUNWAY BANDITS|Singapura #B1-31,238839,
700,L76015450015,3 Damansara - AEON BIG,3 DAMANSARA SELANGOR,AEON BIG|Level 2% No .3% Jalan SS 16/1|(242659-T),,
701,L76009770290,3 Damansara - Caring Pharmacy,3 DAMANSARA|Tropicana City Mall|3 Jln SS20/27|Petaling Jaya,Caring Pharmacy|TONIC PHARMA|(779489-D)|Tel:603-77276918,,
702,L76084620346,3 Damansara - Oliver Gourmet,3 DAMANSARA% No 3|JALAN SS20/27|47400 PETALING JAYA,OLIVIER GOURMET|(1194838-U)|G18-19A% GROUND FLOOR,,
703,L2411300169,Bedok Mall - BEGA,Bedok Mall|311 New Upper Changi Road,BEGA|TEL:68449943|#01-62/63,467360,199804562H
704,L2400200089,Bedok Mall - CHARLES & KEITH,Bedok Mall|311 New Upper Changi Road,CHARLES & KEITH|PHONE No: +(65) 6702 5521|charleskeith,467360,200802300D
705,L2424520178,Bedok Mall - D & C (Design & Comfort),Bedok Mall|311 New Upper Changi Road,D&C(Design & Comfort)|Road  #B1-66|VAT Reg number 000000,467360,
706,L2413800042,Bedok Mall - ETUDE HOUSE,Bedok Mall|311 New Upper Changi Road,ETUDE HOUSE|EH SG Bedok Mall::EH SG|#01-87/88|TEL/FAX:68449436,467360,
707,L24200253036,Bedok Mall - HOMES HARMONY,Bedok Mall|311 New Upper Changi Road,HOMES HARMONY|T.C HOMEPLUS PTE LTD|#01-47/48%Bedok,467360,19830144H
709,L24085850301,Bedok Mall - SINCHONG ??,Bedok Mall|311 New Upper Changi RD,SINCHONG(BDM)|RD #B2-48|TEL: +65 6908 5829,467360,
710,L2400670059,Bedok Mall - STARBUCKS COFFEE,Bedok Mall|311 New Upper Changi Road,Starbucks Coffee|#01-92/03|Tel No. 6910-1251,467360,198800670D
712,L24201823218,Bedok Mall - The Green Party,Bedok Mall,The Green Party|Living Collection|TGP Shop::TGP|TheGreenParty,,
715,L06080920131,Bugis Junction - One Thread,Bugis Junction|200 Victoria Street,Moda SG|#02-20 Bugis|+65 633680633,,
716,L06085153166,Bugis Junction - PLAYDRESS,Bugis Junction|200 Victoria Street,PLAYDRESS|TION #03-10|Tel:6258 6387|W : www.playdress.co,188021,
717,L0630740789,Bugis Junction - SKECHERS,Bugis Junction|200 Victoria Street,SKECHERS|Tel: 6336 8303,188021,200618576R
718,L06200723028,Bugis Junction - Sans & Sans,Bugis Junction|200 Victoria Road,SANS & SANS|#01-48/49|Tel+6567788180,,201303817H
719,L06068320558,Bugis Junction - The Closet Lover,Bugis Junction|200 Victoria Street,THECLOSETLOVER|tion%#01-02,188021,
720,L06202073096,Bugis Junction - The Original Boat Noodle,Bugis Junction|200 Victoria Street,BN Bugis::BN|Atas Food Pte Ltd(201725589Z)|tion #02-46,,
721,L2124620356,Bugis+ - Elisa Litz,Bugis+::+|201Victoria Street,ELISA LITZ|Tel. +65 6238 8771|Street% #02-62/63,,
722,L21201973078,Bugis+ - Nerdy Noodles ???,Bugis+::+|201Victoria Street,Nerdy Noodles|Authentic Cart Noodle|Bugis + #04-09|Tel: +65 6636 5889,188067,201805638G
723,L2121290385,Bugis+ - SUKI-YA,Bugis+::+|201 Victoria Street,SUKI-YA|Street% #04-14/15|Tel: 6884 5778,,199906748N
724,L21200773008,Bugis+ - YAYOI Japanese Teishoku Restaurant,Bugis+::+|201 Victoria Street,YAYOI JAPANESE::YOI|TEISHOKU RESTAURANT|Street%#01-08|TEL:6636 5448,188067,201104609W
725,L1600170073,Bukit Panjang Plaza - GIORDANO,Bukit Panjang Plaza,GIORDANO|No:198103792H|giordano.com.sg|giordano_sg,,M200435630
726,L1612530085,Bukit Panjang Plaza - Gems De Fashion,Bukit Panjang Plaza,GEMS DE FASHION::GEMS|PLAZA #03-03,,
731,Calt02,Caltex - Clementi,126 Clementi Avenue 2,Caltex Clementi|Tel: 6776 7178|Fax: 8776 7971,129930,
732,Calt03,Caltex - Jurong West,21 Jurong West Street|93 S'pore 648964,Caltex Jurong West|Tel: 6793 0880|Fax 6792 0330,648964,
733,L19200903011,Clarke Quay - TSUI WAH,CLARKE QUAY|3A RIVER VALLEY ROAD,TSUI WAH|#01-03 MERCHANTS|GST Reg: 201728177R|TsuiwahFeedback,179020,201728177R
734,L75015450237,East Coast Mall - AEON BIG,East Coast Mall,AEON BIG|Level 2% No .3% Jalan SS 16/1|47500% Subang Jaya,,
735,L75300917173,East Coast Mall - Padini Concept Store,East Coast Mall|EAST COAST MALL%KUANTAN,PADINI CONCEPT|(510558-H)|Tel:09-5609809|www.padini.com|40150% SHAH ALAM% SELANGOR,,
736,L75001840002,East Coast Mall - Parkson,EAST COAST MALL|SQUARE 6% PUTR SQUARE,PARKSON|GRD%L1 & L2%(ZONE 1)%JLN PUTRA|www.parkson.com.my|(157029-X),,
737,L75289217022,East Coast Mall - SUSHI KING,East Coast Mall|Jalan Putra Square 6| 25200 Kuantan%Pahang,SUSHI KING|330201-V|Lot No. 53% 53a% 55&56%Level 2|TEL : 09- 5609221|GST ID:001213038592|sushi-king,,
738,L75574417016,East Coast Mall - UNIQLO,East Coast Mall|Jln Putra Square 6|25200 Kuantan%Pahang,UNIQLO(MALAYSIA)|L1-L3%L1-L13A%L1-L4%L1-15%L1-16&L1-1|TEL: 09-566 0698,,
739,L75001260370,East Coast Mall - Watsons,East Coast Mall,Watson's|Watson's Personal Care|No. :289892V|GST Reg No. 000947339264,,
740,L75278611475,East Coast Mall - guardian,East Coast Mall|JALAN PUTRA SQUARE 6,guardian|GUARDIAN HEALTH AND BEAUTY|Tel:09-5609242|#1101083-T,,
741,L70200293315,Gurney Plaza - AN VIET,Gurney Plaza|Persiaran Gurney|10250%Penang,AN VIET|Real Food People|(927901-V)|Tel No:04-293 3481|170-B1-32A,,
743,L70079210764,Gurney Plaza - Arashi Shabu Shabu,Gurney Plaza|PERSIARAN GURNEY|10250 PENANG,ARASHI SHABU SHABU|170-03-85%PLAZA|TEL: 04 - 2298688|FAX:04-2290188|SST NO: P11-1808-32000182,,
744,L7026809205,Gurney Plaza - Bread History.Bakery,Gurney Plaza|10250%Pulau Penang,BREAD HISTORY|170-B1-35%Plaza|Tel:04-375 0070,,
746,L70408513128,Gurney Plaza - DAISO JAPAN,Gurney Plaza,DAISO JAPAN|Tel:03-7732-9588|GST Reg.No.001132105728|Lot.No170-03-07/08,,
748,L70020450768,Gurney Plaza - Din Tai Fung,Gurney Plaza|Persiaran Gurney|10250 Penang,Din Tai Fung|Din Tai Fung Restaurant|170-B1-05C%Plaza|Tel:(604)293 3634,,
749,L70001240698,Gurney Plaza - Eu Yan Sang,Gurney Plaza|170 Persiaran Gurney|10250 Penang,Eu Yan Sang(1959)|Sdn.Bhd. (3544-P)::3544|L2-01 &L2-02%2nd Floor% changkat Thambi Dollah|Tel. No.04-226 8482 (GMO),,
750,L70083870261,Gurney Plaza - Go Noodle House,Gurney Plaza|Persiaran Gourney%Georgetown|10250 Pulau Penang,GO NOODLE HOUSE|Big Stella|(11932B22-N)|170-07-02/03%Plaza|+604-373 2343,,
751,L7030429574,Gurney Plaza - HOME'S HARMONY,GURNEY PLAZA| PERSIARAN GURNEY| 10250 PULAU PINANG% PENANG,HOME'S HARMONY|TEL: 04-228 8133|FAX: 04-229 3933|170-03-48/48A% 3RD|MONSIEUR ( M )|( 121889-W),,
752,L70201273391,Gurney Plaza - Hakata Ippudo,GURNEY PLAZA|Persiaran Gurney|10250 Penang,IPPUDO|TEL: 04-2936998|Reg NO : 1026563-T|W10-1808-31039544|170-G-37/37A%Ground,,
753,L70200633440,Gurney Plaza - Hoshino Coffee,Plaza Gurney|Gurney Plaza|10250 Penang,Hoshino Coffee|170-G-41% Ground|Tel:(604) 609 9581|(1147883-H)|B16-1808-32000646,,
754,L70073360562,Gurney Plaza - Idealite Wholesome Dining Place,GURNEY PLAZA,WHOLESOME PLUS|TEL:04-2267296|170-03-59A/60/67A|1065266-X|IDEALITE,,
755,L7038979492,Gurney Plaza - Kiehl's,GURNEY PLAZA,IDEALITE|1065266-X|WHOLESOME PLUS|170-03-59A/60/67A|Tel: 04-2267296,,
756,L7028269414,Gurney Plaza - Kim Gary Restaurant,Plaza Gurney|Gurney Plaza|Persiaran Gurney|10250 Penang,KIM GARY RESTAURANT| PLATINUM BUFFALO|(683700-k)| 170-03-60A| Tel: 04-228 1116|P11-1808-31014583,,
757,L70002020063,Gurney Plaza - L'OCCITANE,Gurney Plaza|  PLAZA GURNEY|PERSIARAN GURNEY| 10250 PENAMG,L'OCCITANE|EN PROVENCE| Tel: +604-228 0661| 170-G-17/18,,
758,L701742917777,Gurney Plaza - MARKS & SPENCER,Plaza Gurney|Gurney Plaza|Persiaran Gurney|10250 Penang,MARKS & SPENCER| No. 170-G-63A/65|Tel: 04 226 6035,,
759,L7031729343,Gurney Plaza - MPH Bookstores,Plaza Gurney|Gurney Driver|10250 Penang,MPH BOOKSTORES|170-03-53A/55% 3rd|(46248-M)|Tel: 04-2274202|Fax:04-2274303,,
760,L703436916642,Gurney Plaza - MR. D.I.Y.,GURNEY PLAZA,MR. D.I.Y. (H) | LOT 1851-A & 1851-B% JALAN KPB 6|KAWASAN PERINDUSTRIAN BALAKONG|43300 SERI KEMBANGAN,,
761,L70083980022,Gurney Plaza - Marketplace by Cold Storage,GURNEY PLAZA,COLD STORAGE| GCH RETAIL|(667035-P)| Careline: 04-2290312,,
762,L7036539405,Gurney Plaza - Max Gourmet,Gurney Plaza|Persiaran Gurney|10250 Penang,Max Gourmet| Max Franchise|(836128-A)| SST ID: P11-1808-31027971| 170-07-11 12,,
763,L7031419408,Gurney Plaza - Mothercare,PLAZA GURNEY| Persiaran Gurney| 10250 Penang,Kim Min Joo|[37655-U]|Tel:04-2292968|170-03-36/36A% 3rd,,
764,L70001690727,Gurney Plaza - Nando's,Gurney Plaza| Persiaran Gurney|10250 Penang,Nando's|PERI-PERI CHICKEN|Nando's Chickenland|Nando's Gurney Plaza|Lot No.170-G-72 / 01-68|  (451564-W)| Tel:1300-88-6555 Fax: 604-227 8666,,
765,L70005100177,Gurney Plaza - POPULAR,GURNEY PLAZA% PG,POPULAR BOOK|(Co.No. 113825-W)|No 8% Jalan 7/118B|Desa Tun Razak|56000 Kuala Lumpur| Tel:04-2269294/9334,,
766,L70003540717,Gurney Plaza - Padini Concept Store,Gurney Plaza,PADINI CONCEPT|Tel:04-2282120|www.padini.com| No.19%  JALAN JURUNILAI|HICOM GLENMARIE|40150% SHAH ALAM,,
767,L7028449425,Gurney Plaza - Parkson,PLAZA GURNEY|PERSIARAN GURNEY|10250 PULAU PINANG,PARKSON|www.parkson.com.my|(157029-X),,
769,L70289212430,Gurney Plaza - SUSHI KING,Plaza Gurney|Persiaran Gurney 10250|Pulau Pinang,SUSHI KIN| 330201-V|Lot 170-02-58|SUSHI KING|TEL:04-2275285|B16-1808-31025290,,
770,L7059419273,Gurney Plaza - Sasa,Plaza Gurney |Persiaran Gurney|10250 Penang,SA SA COSMETICS|Hong Kong Sa Sa|[446777-M]|Lot 170-01-46/47%First Floor|Tel (04) 2278802,,
771,L70003860642,Gurney Plaza - Sen Q,Gurney Plaza|Persiaran Gurney|10250 Penang,SENHENG ELECTRIC|296691-X|170-07-08% PLAZA|Tel No:011-10888420|Fax No: 04-2294040|000179486720,,
772,L70081800761,Gurney Plaza - Sushi Kitchen,Gurney Plaza|Persiaran Gurney|10250 Penang,Sushi Kitchen|(PG0319542-P)|Japanese VEGAN|cuisine Est. 2009|170-03-82 Plaza|Tel: 04-3731402|000075444224,,
773,L7042809276,Gurney Plaza - Sushi Tei,Gurney Plaza|Persiaran Gurney|10250 Penang,Sushi Tei|Unit No% 170-02-02% Plaza|Hopeda le Beverage|(947477-X)|P11-1808-31012535,,
774,L70004923113,Gurney Plaza - TOYSRUS,Gurney Plaza |Persiaran Gurney|10250 Penang,TOYSRUS|TOYS 'R' US|(160451-A)|170-03-01% 3RD| TEL: 604 - 2281940,,
775,L70078280579,Gurney Plaza - The Six Ramen Kitchen,PLAZA GURNEY |Persiaran Gurney|10250 Penang,THE SIX RAMEN KITCHEN|170-B1-08% PLAZA| Tel: 04-2272227,,
776,L70078270744,Gurney Plaza - The Six,Plaza Gurney |Persiaran Gurney|10250 Penang,London DUCK| GP London Roast Duck | (1284913-U)|170-03-86% Plaza|Tel: +604-2170 990|Fax: +6016-7610 509,,
777,L70574417066,Gurney Plaza - UNIQLO,Plaza Gurney |Persiaran Gurney|10250 Penang,UNIQLO|www.UNIQLO.COM|TEL:04-2282801|170-01-05/06/07/08,,
778,L7027879184,Gurney Plaza - Watsons,Gurney Plaza(GP),watsons|Watson's Personal Care|No.:289892V,,
779,L7028739227,Gurney Plaza - Winter Warmers Coffee & Tea House,Gurney Plaza|Persiaran Gurney|10250 Penang.,Winter Warmers|(579174-K)|Tel: 04-3708848|Plaza 170-G-38|P13-1808-31011823,,
780,L70078540724,Gurney Plaza - Yoshinoya Hanamaru Udon,Gurney Plaza |Persiaran Gurney|10250 Georgetown|Pulau Pinang.,YHM Gurney::YHM| 170-B1-37% Basement 1|B16-1808-21000374,,
781,L7027869510,Gurney Plaza - guardian,Plaza Gurney|Gurney Plaza|Gurney  Drive% 10250,Guardian Health And Beauty | 170-B1-39% Plaza| Tel:04-2265016,,
782,L70201703008,Gurney Plaza - innisfree,Gurney Plaza|Plaza Gurney |Persiaran Gurney|10250 Georgetown|Pulau Pinang.,innisfree|Natural Benefits from Jeju| IF PN Gurney::IF PN|AMOREPACIFIC|Lot No: 170-01-11,,
783,L05076782469,IMM Building - Club 21 Collectibles Outlet,IMM,CLUB 21::21| 6B Orange Grove Road|Como House|Tel: 6304 3580,258332,M200245911
784,L05085972898,IMM Building - Aoy's Thai Noodle Caf?,IMM|Jurong East Street 21::2,Saap Saap Thai|Street 21% #01-48/K7,,200409736E
786,L05200443215,IMM Building - HaiDiLao Hot Pot ?????,IMM|Jurong East Street 21::2,HAIDILAO HOT POT|Street 21 % #03-01| 0065-68984111,609601,201201446C
787,L05088302301,IMM Building - Lou Yau Taste of Malaysia,IMM Building|Jurong East St 21::2,Lou Yau| Bean Sprouts Chicken|#01-K09 IMM|Tel:65673533,609601,201209880R
788,L05202823682,IMM Building - MDREAMS Pop-Up,IMM,ENVIABLY ME PTE,609601,200923653Z
789,L05076002363,IMM Building - THE BODY SHOP Outlet,IMM Building|Jurong East Street 21::2|IMM,THE BODY SHOP|THE WORLD IS OUR SOURCE OF BEAUTY| #01-121 IMM|Tel:65639357,609601,M20119094X
790,L05202003140,IMM Building - The North Face Outlet,IMM BUILDING|JURONG EAST STREET 21::2,THE NORTH FACE|#02-05 IMM|Tel: 62566334,609601,200508835R
791,L0523192053,IMM Building - Winter Time Outlet,IMM Building|Jurong East St.21::2,Winter Time| #02-27 IMM|Phone:6569 6088,609601,M90370310T
793,L05201363002,IMM Building - buybye VALIRAM FASHION OUTLET,IMM MALL|JURONG EAST STREET 21::2|IMM,LOT 01-106/107/108/109|KSN IMM::KSN,,201017653Z
795,L09071460373,JCube - Hair Movement,J CUBE::J C|JURONG EAST CENTRAL 1,HAIR MOVEMENT|B1-06% J CUBE|Tel: 6563 4436/4866,609731,
797,L0912570263,JCube - KIYO,Jurong East Central #02-01| #02-01% 60973,Kiyo Concept |Central #02-01% 609731|Phone: 66842005,609731,
798,L09079491065,JCube - Noodle Bar by Wan Chai,Jcube::JC|Jurong East Central 1,Noodle Bar | 1 #02-03 Jcube,609731,200610274Z
799,L09202113007,JCube - ?eat?,Jcube::JC|Jurong East Central 1,CHILL GEN| #01-06 Jcube|Tel: 66844407,609731,200711630D
800,L02029493030,Junction 8 - 4FINGERS CRISPY CHICKEN,Junction 8::8|9 Bishan Pl,4 Fingers Crispy|Crispy Chicken|Pl% #01-32 | Tel: 6339 1327|4fingers::4f,579837,201504854K
801,L02003840089,Junction 8 - BreadTalk / TOAST BOX,Junction 8::8|9 Bishan Place,BreadTalk|Place  #01-35/36|Tel: 6251 3444,579837,200003528M
802,L02002913021,Junction 8 - GENKI SUSHI,9 Bishan Pl|Junction 8::8,GENKI SUSHI J8|#01-22/30 Junc,579837,201100057G
803,L0201470074,Junction 8 - PAZZION,9 Bishan Place|Junction 8::8,PAZZION|Place #01-23A|Phone 6876 9136,,200200886H
804,L0202240050,Junction 8 - Sasa,9 Bishan Place|Junction 8 Shopping::8,Sa Sa Cosmetic|#01-07/08 Junc,579837,199701568C
805,L02087930297,Junction 8 - The Stage Walk,9 Bishan Place|Junction 8 Shopping::8,TheStageWalk|#02-36/37 Sing,579837,201709000R
807,L1800040461,Lot One - COURTS,LOT-1::1|CHOA CHU KANG AVE 4|LOT1 SHOPPING::1,COURTS|#03-01/01A/01B|197301411C,689812,M200162650
808,L1824520462,Lot One - D & C (Design & Comfort),Choa Chu Kang Ave 4,Design & Comfort|Ave 4% #01-25,689812,
809,L1813800455,Lot One - ETUDE HOUSE,Chao Chu Kang Ave 4|Lot One,EH SG|Etude House|etude.sg|etude.sing,689812,200107846H
810,L1817650418,Lot One - HONG KONG SHENG KEE DESSERT,Choa Chu Kang Ave 4|Lot One,SHENG KEE|#B1-K1% Lot One|Tel : 6462 3343,689812,201002443W
811,L1802610037,Lot One - Levi's?,CHOA CHU KANG AVE 4|LOT1 SHOPPERS::1,LEVIS|#01-02% LOT1|Tel: 68750051,,M200174712
812,L1861150358,Lot One - MOON FASHION,Lot One,Moon Fashion|One #02-K2|TEL: 98537028,,
813,L18069530320,Lot One - TOG,LOT 1 Shopper::1|Kang Ave 4|21 Chua Chu,TOG Connection::TOG|Ave 4 #04-13|Phone: 67696129,689812,201229862H
814,L1811480307,Lot One - ZONE X,LOT One,Zone X LOT::X,,
815,L04039900681,Plaza Singapura - AKEMIUchi,Plaza Singapura,AKEMIUCHI,,200413885M
816,L04200443254,Plaza Singapura - HaiDiLao Hot Pot ?????,Plaza Singapura|68 Orchard Road,HAIDILAO|Road% #04-01/20|065-62500990,238839,201201446C
817,L04086933221,Plaza Singapura - Irvins Salted Egg,Plaza Singapura|68 Orchard Road,COCOBA|IRVINS SALTED|SALTED EGG|Road #B2-56|Tel No: 6264 3076|irvinsaltedegg,,200702419E
819,L04031900567,Plaza Singapura - Pierre Cardin,Plaza Singapura|68 Orchard Road,PIERRE CARDIN|Road #02-24|Tel: 67343978,238839,199805501W
820,L0400670126,Plaza Singapura - STARBUCKS COFFEE,Plaza Singapura|68 Orchard Road,Starbucks|#01-34 Plaza|Tel No. 6910-1153,238839,198800670D
821,L04001200639,Plaza Singapura - SWAROVSKI,PLAZA SINGAPURA|68 ORCHARD ROAD,Swarovski Store|SWAROVSKI|ROAD #01-33|Tel.: 63364816,238839,M200648331
822,L0401210017,Plaza Singapura - StarHub,68 ORCHARD ROAD,STARHUB LTD,,M90005650C
823,L04069533134,Plaza Singapura - TOG,Plaza Singapura|68 Orchard Road,TOG Connection::TOG|Phone: 62387632,238839,201229862H
824,L0402270184,Plaza Singapura - Thai Express,PLAZA SINGAPURA|8 Orchard Road,THAIEXPRESS|Road #03-24|Fax/Tel: 6339 5442,233839,200711627G
825,L04201823268,Plaza Singapura - The Green Party,Plaza Singapura,TheGreenParty|Living Collection|The Green Party|TGP shop::TGP,,
826,L0421080099,Plaza Singapura - Young hearts,Plaza Singapura|68 Orchard Road,YOUNG HEARTS|Road #B1-35|Tel: 68846137|youngheartslingerie,238839,199905917W
827,L73380211171,Queensbay Mall - ACE Hardware,QUEENSBAY MALL|100% PERSIARAN BAYAN INDAH|11900 BAYAN LEPAS,GIANT ACE|2F-26(B)% 17%16%15 & 12B|002020605952,,
828,L73077150404,Queensbay Mall - AEON,AEON QUEENS BAY,AEON CO. (M)::AEON|(126926-H)|AEON TAMAN MALURI SC|W10-1808-32000514|3RD FLR% AEON,,
829,L73407411058,Queensbay Mall - AZUMA JAPANESE RESTAURANT,Queensbay Mall|Persiaran Bayan Indah|11900 Bayan Lepas,Azuma|(PG0231195-T)|No. 100-2F87|Tel: 04-6413118|Fax: 04-6412180|P11-1808-32000225,,
